icao,iata,name,city,country,lat,lon,airport_type,scheduled_service,runway_length_ft
RPLJ,,Jomalig Island Airport,Jomalig,Philippines,14.704161,122.331133,small_airport,false,3400
RPLK,DRP,Bicol International Airport,Legazpi,Philippines,13.111915,123.676829,large_airport,true,8202
RPLL,MNL,Ninoy Aquino International Airport,Manila (Pasay),Philippines,14.5086,121.019997,large_airport,true,12261
RPLM,,Camp Capinpin Airstrip,Tanay,Philippines,14.53567,121.364572,small_airport,false,0
RPLN,,Palanan Community Airport,Palanan,Philippines,17.065667,122.427671,small_airport,true,3280
RPLO,CYU,Cuyo Airport,Cuyo,Philippines,10.8581,121.069,small_airport,true,0
RPLQ,,Colonel Ernesto Rabina Air Base,Capas,Philippines,15.317683,120.422891,small_airport,false,0
RPLR,,Carmen (Rosales) Airstrip,Rosales,Philippines,15.885047,120.604602,small_airport,false,0
RPLS,SGL,Danilo Atienza Air Base,Cavite,Philippines,14.4954,120.903999,medium_airport,false,7769
RPLT,,Itbayat Jorge Abad Airport,Itbayat,Philippines,20.722521,121.809969,medium_airport,true,2628
RPLU,LBX,Lubang Airport,Lubang,Philippines,13.8554,120.105003,medium_airport,false,4135
RPLV,,Fort Magsaysay Airport,Santa Rosa,Philippines,15.4347,121.091003,small_airport,false,5249
RPLW,,Wallace Air Force Station Heliport,Poro Point (San Fernando),Philippines,16.619112,120.282509,heliport,false,0
RPLX,,Corregidor Airport (Kindley Field),Corregidor,Philippines,14.3913,120.607002,small_airport,false,0
RPLY,,Alabat Island Airport,Perez,Philippines,14.2329,121.929118,small_airport,false,0
RPLZ,,Bacon Community Airport,Sorsogon,Philippines,13.00696,124.025942,small_airport,false,0
RPMA,AAV,Allah Valley Airport,Surallah,Philippines,6.367903,124.752431,medium_airport,false,4396
RPMB,,Rajah Buayan Air Base,General Santos City,Philippines,6.105476,125.234882,medium_airport,false,5577
RPMC,CBO,Cotabato (Awang) Airport,Datu Odin Sinsuat,Philippines,7.164753,124.209938,medium_airport,true,6234
RPMD,DVO,Francisco Bangoy International Airport,Davao,Philippines,7.12552,125.646004,large_airport,true,9842
RPME,BXU,Bancasi Airport,Butuan,Philippines,8.9515,125.4788,medium_airport,true,6877
RPMF,BPH,Bislig Airport,Bislig,Philippines,8.195052,126.321015,medium_airport,false,3937
RPMG,DPL,Dipolog Airport,Dipolog,Philippines,8.601983,123.341875,medium_airport,true,6273
RPMH,CGM,Camiguin Airport,Mambajao,Philippines,9.253894,124.709115,medium_airport,true,3945
RPMI,IGN,Maria Cristina (Iligan) Airport,Balo-i,Philippines,8.13049,124.214996,small_airport,false,4593
RPMJ,JOL,Jolo Airport,Jolo,Philippines,6.05367,121.011002,medium_airport,true,4144
RPML,,Lumbia Airfield,Cagayan de Oro,Philippines,8.415154,124.611171,small_airport,false,8050
RPMM,MLP,Malabang Airport,Malabang,Philippines,7.616911,124.057961,small_airport,false,0
RPMN,TWT,Sanga Sanga Airport,Bongao,Philippines,5.048196,119.743338,medium_airport,true,6102
RPMO,OZC,Labo Airport,Ozamiz,Philippines,8.17851,123.842003,medium_airport,true,5720
RPMP,PAG,Pagadian Airport,Pagadian,Philippines,7.825632,123.459635,medium_airport,true,6574
RPMQ,MXI,Mati National Airport,Mati,Philippines,6.949091,126.27368,medium_airport,false,5330
RPMR,GES,General Santos International Airport,General Santos,Philippines,6.057208,125.096243,large_airport,true,10587
RPMS,SUG,Surigao Airport,Surigao City,Philippines,9.755838325629998,125.480947495,medium_airport,true,5603
RPMT,,Del Monte Plantation Airport,Manolo Fortich,Philippines,8.34813,124.85059,small_airport,false,0
RPMU,CDY,Cagayan de Sulu Airport,Mapun,Philippines,7.014,118.496002,small_airport,false,0
RPMV,IPE,Ipil Airport,Ipil,Philippines,7.784898,122.6015,small_airport,false,0
RPMW,TDG,Tandag Airport,Tandag,Philippines,9.072002,126.17132,medium_airport,false,4765
RPMX,,Liloy Community Airport,Liloy,Philippines,8.102059,122.670422,small_airport,false,0
RPMY,CGY,Laguindingan International Airport,Laguindingan,Philippines,8.612203,124.456496,large_airport,true,6890
RPMZ,ZAM,Zamboanga International Airport,Zamboanga,Philippines,6.92242,122.059998,large_airport,true,8560
RPNS,IAO,Siargao Airport,Del Carmen,Philippines,9.8591,126.014,small_airport,true,4167
RPSB,,Bantayan Airport,Santa Fe,Philippines,11.161748,123.7849,small_airport,false,3529
RPSD,RZP,Cesar Lim Rodriguez (Taytay-Sandoval) Airport,Taytay,Philippines,11.05065,119.519266,small_airport,false,0
RPSM,,Maasin Airport,Maasin,Philippines,10.185695,124.783244,small_airport,false,3642
RPSN,,Ubay Community Airport,Ubay,Philippines,10.059037,124.425573,small_airport,false,0
