typecode,engines,body_class,model_name
AIRD,1,ga,BEAGLE-AUSTER A-109 Airedale
AIRL,2,regional,AERONIX Airelle
AJ27,2,narrowbody,COMAC ARJ-21-700
AJET,2,narrowbody,DASSAULT-DORNIER Alpha Jet
AK1,1,ga,AKAFLIEG KARLSRUHE AK-1
AKOY,1,ga,LISA Akoya
AKRO,1,ga,STEPHENS Akro
ALBU,1,ga,AVIATION DEVELOPMENT Alaskan Bushmaster
ALC1,1,ga,ALTAIR COELHO AC-11
ALGR,1,ga,FANTASY AIR Allegro
ALH,2,heli,HINDUSTAN ALH Dhruv
ALIG,1,ga,ARION LS-1 Lightning
ALIZ,1,ga,BREGUET 1050 Alizé
ALO2,1,heli,AEROSPATIALE Alouette 2
ALO3,1,heli,AEROSPATIALE Alouette 3
ALPI,1,ga,AUSTER J-5R Alpine
ALSL,1,ga,AIRLONY Skylane
ALTO,1,ga,DIRECT FLY Alto
AM3,1,ga,AERITALIA-AERMACCHI AM-3
AMX,1,ga,AMX AMX
AN12,4,quad,ANTONOV An-12
AN2,1,ga,ANTONOV An-2
AN22,4,quad,ANTONOV An-22 Antheus
AN24,2,regional,ANTONOV An-24
AN26,2,regional,ANTONOV An-26
AN28,2,regional,ANTONOV An-28
AN3,1,ga,ANTONOV An-3
AN30,2,regional,ANTONOV An-30
AN32,2,regional,ANTONOV An-32
AN38,2,regional,ANTONOV An-38
AN70,4,quad,ANTONOV An-70
AN72,2,narrowbody,ANTONOV An-72
AN8,2,regional,ANTONOV An-8
ANGL,2,regional,KING'S 44 Angel
ANKA,1,ga,TAI Anka
ANSN,2,regional,AVRO 652 Anson
ANST,2,heli,KAZAN Ansat
AP20,1,ga,AEROPRAKT A-20
AP22,1,ga,AEROPRAKT A-22
AP24,1,ga,AEROPRAKT A-24 Viking
AP26,2,regional,AEROPRAKT A-26 Twin Vista
AP28,2,regional,AEROPRAKT A-28 Victor
AP32,1,ga,AEROPRAKT A-32 Vixxen
AP36,2,regional,AEROPRAKT A-36 Vulcan
APM2,1,ga,ISSOIRE APM-20 Lionceau
APM3,1,ga,ISSOIRE APM-30 Lion
APM4,1,ga,ISSOIRE APM-40 Simba
APUP,1,ga,AEROPUP Aeropup
AR1,1,heli,SILVERLIGHT AR-1 American Ranger 1
AR11,1,ga,AERONCA 11 Chief
AR15,1,ga,AERONCA 15 Sedan
AR50,1,ga,AERONCA 50 Chief
AR5T,1,ga,AERONCA 50 Tandem
AR65,1,ga,AERONCA 65 Super Chief
AR6T,1,ga,AERONCA 60 Tandem
AR79,1,ga,ARADO Ar-79
ARC3,1,ga,AERONCA 3 Collegain
ARCE,1,ga,SCHEMPP-HIRTH Arcus E
ARCP,1,ga,SCHEMPP-HIRTH Arcus T
ARES,1,ga,SCALED Ares
ARKS,1,ga,ACEAIR A-200 Aeriks 200
ARON,1,ga,GENERAL AVIA F-220 Airone
ARV1,1,ga,ARV Super 2
ARVA,2,regional,IAI 201 Arava
ARWF,1,ga,ARROW (1) F Sport
AS02,1,ga,FFA AS-202-15 Bravo
AS14,1,ga,SCHLEICHER ASK-14
AS16,1,ga,SCHLEICHER ASK-16
AS20,1,ga,SCHLEICHER ASW-20TOP
