typecode,engines,body_class,model_name
CDUS,1,heli,ROTORSPORT Calidus
CDW1,1,ga,CHILTON DW-1
CE15,1,ga,CHERNOV Che-15
CE22,2,regional,CHERNOV Che-22 Corvette
CE23,1,ga,CHERNOV Che-23
CE25,2,regional,CHERNOV Che-25
CE27,2,regional,CHERNOV Che-27
CE43,1,ga,CERVA CE-43 Guepard
CEGL,1,ga,CELAIR Eagle 300
CELR,1,ga,MIRAGE Celerity
CENT,1,ga,FOUND 100 Centennial
CFRE,1,ga,COLYAER Freedom
CG3,1,ga,CAUDRON G-3 Replica
CGAN,1,ga,COLYAER Gannet
CH1,1,ga,AIDC A-CH-1 Chung-Tsing
CH10,1,ga,ZENAIR CH-100 Mono-Zénith
CH12,1,heli,CICARE CH-12
CH14,1,heli,CICARE CH-14 Aguilucho
CH15,1,ga,ZENAIR CH-150 Acro-Zénith
CH18,1,ga,ZENAIR CH-180 Super Acro-Zénith
CH20,1,ga,ZENAIR CH-200 Zénith
CH25,1,ga,ZENAIR CH-250 Zénith
CH2T,1,ga,ZENAIR CH-2000 Zénith
CH3,1,ga,CHRISLEA CH-3 Super Ace
CH30,1,ga,ZENAIR CH-300 Tri-Zénith
CH40,2,regional,CHAMPION 402 Lancer
CH50,1,ga,ZENAIR CH-50 Mini Zénith
CH60,1,ga,ZENAIR CH-600 Zodiac
CH62,2,regional,ZENAIR CH-620 Gemini
CH64,1,ga,ZENAIR CH-640 Zodiac
CH65,1,ga,AMD CH-650 Zodiac
CH7,1,heli,HELI-SPORT CH-7 Kompress
CH70,1,ga,ZENAIR CH-701 Stol
CH75,1,ga,ZENAIR CH-750 Cruzer
CH7A,1,ga,AERONCA 7AC Champion
CH7B,1,ga,AMERICAN CHAMPION 7GCBC Citabria High Country Explorer
CH80,1,ga,ZENAIR CH-801 Stol
CHAN,1,ga,CADCOR Chanute
CHCS,1,ga,ALPAERO Choucas
CHGO,1,ga,KOREAN AIR CHK-91 Chang-Gong 91
CHIC,1,ga,PODESVA Chico
CHIF,1,heli,PAWNEE Chief
CHIN,1,ga,ASAP Chinook
CHIP,1,ga,LEGER Super-Chipmunk
CHR1,1,ga,ELMWOOD CA-05 Christavia Mk1
CHR4,1,ga,ELMWOOD CH-8 Christavia Mk4
CHSY,1,heli,CHAYAIR Sycamore
CICA,2,regional,HYDROPLANE SkyWind
CJ1,1,ga,CORBY CJ-1 Starlet
CJ6,1,ga,NANCHANG CJ-6
CKUO,2,narrowbody,AIDC F-CK-1 Ching-Kuo
CL2P,2,regional,CANADAIR CL-215
CL2T,2,regional,CANADAIR CL-415
CL30,2,narrowbody,BOMBARDIER Challenger 300
CL35,2,narrowbody,BOMBARDIER Challenger 350
CL41,1,ga,CANADAIR CL-41 Tutor
CL4G,4,quad,CANADAIR CL-44-O Guppy
CL60,2,narrowbody,CANADAIR Challenger 600
CL8,1,ga,CARRIOU CL-8 RSA Club
CLA,1,ga,CALLAIR A-2
CLB1,1,ga,AERO COMMANDER B-1 Ag Commander
CLBR,1,ga,FISHER AERO Celebrity
CLD2,1,heli,ROTORTEC Cloud Dancer 2
CLDS,1,ga,REARWIN Cloudster
CLON,1,heli,ROTORSPORT Cavalon
CMA3,1,ga,COLYAER Martin 3
CMAS,1,ga,CESSNA C-165 Airmaster
CMDE,1,heli,AIR COMMAND Commander Elite Side-by-Side
CMDT,1,heli,AIR COMMAND Commander  Elite Tandem
CN12,1,ga,CIRCA Nieuport 12-7/8
CN35,2,regional,CASA CN-235 Persuader
CNBR,2,narrowbody,ENGLISH ELECTRIC Canberra
CNDR,2,regional,GENERAL AVIA F-20TP Condor
CNGP,1,ga,CESSNA NGP
CNUK,1,ga,FLEET 80 Canuck
CO50,1,ga,COBALT Co-50 Valkyrie
COAR,1,ga,COBRA Arrow
COBR,1,ga,DEBORDE-ROLLAND Cobra
COL3,1,ga,CESSNA 350 Corvalis
COL4,1,ga,CESSNA 400 Corvalis TT
COLT,1,ga,TEXAS AIRCRAFT TA-01
COMU,1,heli,HELICOM H-1 Commuter
CONI,4,quad,LOCKHEED C-121 Constellation
COOT,1,ga,TAYLOR (2) Coot
CORO,1,ga,CORVUS CA-21 Phantom
CORR,1,ga,SIVEL SD-27 Corriedale
CORS,1,ga,CHANCE VOUGHT F4U Corsair
CORV,2,regional,WOLFSBERG Corvus
COUG,1,ga,NESMITH Cougar
COUR,1,ga,HELIO U-10 Super Courier
COY2,1,ga,RANS S-6 Coyote 2
COZJ,1,ga,CO-Z CozyJet
COZY,1,ga,AEROCAD AeroCanard
CP10,1,ga,MUDRY CAP-10
CP13,1,ga,PIEL Super Emeraude (CP-1310/1315/1330)
CP20,1,ga,MUDRY CAP-20
CP21,1,ga,MUDRY CAP-21
CP22,1,ga,GILES G-222
CP23,1,ga,MUDRY CAP-230
CP30,1,ga,PIEL CP-30 Emeraude
CP32,1,ga,PIEL Super Emeraude (CP-320/325/328)
CP60,1,ga,PIEL CP-60 Diamant
CP65,1,ga,PORTERFIELD CP-65 Collegiate
CP75,1,ga,PIEL CP-70 Béryl
CP80,1,ga,PIEL CP-80 Zéphir
CP90,1,ga,PIEL CP-90 Pinocchio 2
CPNA,1,ga,PENA Capena
CPUP,1,ga,CULP Sopwith Pup
CR10,1,ga,DYN'AERO CR-100
CRA1,1,ga,CRANFIELD A-1 Eagle
CRAC,1,ga,PLUMB CJ-3 Cracker Jack
CRBN,1,ga,CURTISS 50 Robin
CRER,1,ga,RANS S-7 Courier
CRES,1,ga,PACIFIC AEROSPACE Cresco
CRIO,1,ga,MICROLEVE Corsario
CRJ1,2,narrowbody,CANADAIR Regional Jet CRJ-100
CRJ2,2,narrowbody,CANADAIR Regional Jet CRJ-200
CRJ7,2,narrowbody,CANADAIR Regional Jet CRJ-700
CRJ9,2,narrowbody,CANADAIR Regional Jet CRJ-900
CRJX,2,narrowbody,BOMBARDIER Regional Jet CRJ-1000
CRUZ,1,ga,CZAW SportCruiser
CT4,1,ga,PACIFIC AEROSPACE CT-4 Airtrainer
CTAH,1,ga,RAINBOW SKYREACH Cheetah
CTLN,1,ga,FLY SYNTHESIS Catalina
CUB2,1,ga,ACES HIGH Cuby 2
CUCA,1,ga,CULVER Cadet
CULP,1,ga,CULP Special
CULV,1,ga,CULVER V
CULX,2,regional,FISHER AERO Culex
CVLP,2,regional,CONVAIR C-131 Samaritan
CVLT,2,regional,CONVAIR C-131H
CX5,1,ga,THATCHER CX-5
CYCL,1,ga,CARLSON Skycycle
CYGT,1,ga,HAWKER Cygnet Replica
D1,2,regional,WING D-1 Derringer
D11,1,ga,JODEL D-11
D139,1,ga,DORNA D-139 Parandeh Abi
D140,1,ga,JODEL D-140 Mousquetaire
D150,1,ga,JODEL D-150 Mascaret
D18,1,ga,JODEL D-18
D201,1,ga,D'APUZZO D-201 Sportwing
D21,1,ga,FOKKER D-21 Replica
D228,2,regional,DORNIER 228
D25,1,ga,NEW STANDARD D-25
D250,1,ga,CENTRE EST DR-250 Capitaine
D253,1,ga,CENTRE EST DR-253 Regent
D28D,2,regional,DORNIER Do-28D Skyservant
D28T,2,regional,DORNIER Do-28D-6 Turbo Skyservant
D31,1,ga,DRUINE D-31 Turbulent
D328,2,regional,DORNIER 328
D39,1,ga,AKAFLIEG DARMSTADT D-39
D4,1,ga,AUSTER D-4
D5,1,ga,AUSTER D-5
D5TU,1,ga,DRUINE D-5 Turbi
D6,1,ga,AUSTER D-6
D6CR,1,ga,DRUINE D-60 Condor
D7,1,ga,FOKKER D-7 Replica
D8,1,ga,FOKKER D-8 Replica
DA2,1,ga,DAVIS DA-2
DA36,1,ga,DIAMOND DA-36 E-Star
DA40,1,ga,DIAMOND DA-40 Diamond Star
DA42,2,regional,DIAMOND DA-42 Twin Star
DA5,1,ga,DAVIS DA-5
DA50,1,ga,DIAMOND DA-50 SuperStar
DA62,2,regional,DIAMOND DA-62
DAHU,1,ga,PENA Dahu
DAKH,1,ga,FISHER Dakota Hawk
DAL1,1,ga,SPEZIO DAL-1 Tuholer
DAL4,1,ga,DALLACH D-4 Fascination
DAL5,1,ga,DALLACH D-5 Evolution
DART,1,ga,PARRISH Dart
DC10,3,widebody,MCDONNELL DOUGLAS DC-10
DC2,2,regional,DOUGLAS DC-2
DC3,2,regional,DOUGLAS DC-3
DC3S,2,regional,DOUGLAS Super DC-3
DC3T,2,regional,BASLER BT-67 Turbo 67
DC4,4,quad,DOUGLAS DC-4
DC6,4,quad,DOUGLAS DC-6
DC7,4,quad,DOUGLAS DC-7
DC85,4,quad,MCDONNELL DOUGLAS DC-8-50
DC86,4,quad,MCDONNELL DOUGLAS DC-8-60
DC87,4,quad,MCDONNELL DOUGLAS DC-8-70
DC91,2,narrowbody,MCDONNELL DOUGLAS DC-9-10
DC92,2,narrowbody,MCDONNELL DOUGLAS DC-9-20
DC93,2,narrowbody,MCDONNELL DOUGLAS DC-9-30
DC94,2,narrowbody,MCDONNELL DOUGLAS DC-9-40
DC95,2,narrowbody,MCDONNELL DOUGLAS DC-9-50
DEAG,1,heli,AMAX Double Eagle
DEFI,2,regional,RUTAN 40 Defiant
DELF,1,ga,LYAVIN Delfin
DFL6,1,ga,DAMOURE-FABRE DFL-6 Saphir
DFLY,1,ga,VIKING (1) Dragonfly
DG15,1,ga,HOWARD (1) DGA-15
DG1T,1,ga,DG FLUGZEUGBAU DG-1000T
DG40,1,ga,GLASER-DIRKS DG-400
DG50,1,ga,GLASER-DIRKS DG-500M
DG60,1,ga,GLASER-DIRKS DG-600M
DG80,1,ga,DG FLUGZEUGBAU DG-800
DH2T,1,ga,DE HAVILLAND CANADA DHC-2 Mk3 Turbo Beaver
DH3T,1,ga,DE HAVILLAND CANADA DHC-3 Turbo Otter
DH4T,2,regional,DE HAVILLAND CANADA DHC-4 Turbo Caribou
DH60,1,ga,DE HAVILLAND DH-60 Moth
DH80,1,ga,DE HAVILLAND DH-80 Puss Moth
DH82,1,ga,DE HAVILLAND DH-82 Tiger Moth
DH83,1,ga,DE HAVILLAND DH-83 Fox Moth
DH84,2,regional,DE HAVILLAND DH-84 Dragon
DH85,1,ga,DE HAVILLAND DH-85 Leopard Moth
DH87,1,ga,DE HAVILLAND DH-87 Hornet Moth
DH88,2,regional,DE HAVILLAND DH-88 Comet Replica
DH89,2,regional,DE HAVILLAND DH-89 Dragon Rapide
DH8A,2,regional,DE HAVILLAND CANADA DHC-8-100 Dash 8
DH8B,2,regional,DE HAVILLAND CANADA DHC-8-200 Dash 8
DH8C,2,regional,DE HAVILLAND CANADA DHC-8-300 Dash 8
DH8D,2,regional,DE HAVILLAND CANADA DHC-8-400 Dash 8
DH90,2,regional,DE HAVILLAND DH-90 Dragonfly
DH94,1,ga,DE HAVILLAND DH-94 Moth Minor
DHA3,3,widebody,DE HAVILLAND AUSTRALIA DHA-3 Drover
DHC1,1,ga,DE HAVILLAND DHC-1 Chipmunk
DHC2,1,ga,DE HAVILLAND CANADA DHC-2 Mk1 Beaver
DHC3,1,ga,DE HAVILLAND CANADA DHC-3 Otter
DHC4,2,regional,DE HAVILLAND CANADA DHC-4 Caribou
DHC5,2,regional,DE HAVILLAND CANADA DHC-5 Buffalo
DHC6,2,regional,DE HAVILLAND CANADA DHC-6 Twin Otter
DHC7,4,quad,DE HAVILLAND CANADA DHC-7 Dash 7
DIES,1,ga,PENNEC-LUCAS Dieselis
DIJ3,1,ga,DIJKMAN-DULKES Dijkhastar 3
DIJ4,1,ga,DIJKMAN-DULKES Dijkhastar 4
DIMO,1,ga,DIAMOND HK-36 Super Dimona
DINO,1,ga,GANZAVIA GAK-22 Dinó
DIPR,1,ga,COLLINS Dipper
DISC,1,ga,SCHEMPP-HIRTH Discus 2T
DJET,1,ga,DIAMOND DJ-1 D-Jet
DJIN,1,heli,SUD-OUEST SO-1221 Djinn
DLH2,1,ga,LANGE E-1 Antares DLR-H2
DNGO,1,ga,AERORIC Dingo
DO27,1,ga,DORNIER Do-27
DO28,2,regional,DORNIER Do-28
DOCX,1,ga,KOVACH-ELMENDORF ES-3 Doc's RX
DON,1,ga,UNIKOMTRANSO Don
DOVE,2,regional,DE HAVILLAND DH-104 Dove
DR1,1,ga,FOKKER Dr-1 Replica
DR10,1,ga,CENTRE EST DR-1050 Ambassadeur
DR22,1,ga,CENTRE EST DR-220 2+2
DR30,1,ga,ROBIN DR-300
DR40,1,ga,ROBIN DR-400 2+2
DRAG,1,heli,DRAGON FLY Dragon Fly
DRIF,1,ga,AUSTFLIGHT Drifter
DRTG,1,ga,DART G
DSA1,1,ga,SMITH (1) DSA-1 Miniplane
DSK,1,ga,KILLINGSWORTH DSK-1 Hawk
DSLK,1,ga,DRIGGS Skylark
DT45,1,ga,DIAMOND DART-450
DTA1,1,ga,VERHEES D-1 Delta
DTA2,1,ga,VERHEES D-2 Delta
DUB2,1,ga,DUBNA 2 Osa
DUCE,1,ga,BAKENG Duce
DUOD,1,ga,SCHEMPP-HIRTH Duo Discus T
DUR5,1,ga,DURAND Mk5
DV1,1,ga,DOVA DV-1 Skylark
DV2,1,ga,DOVA DV-2 Infinity
DV20,1,ga,DIAMOND DV-20 Katana
DW1,1,ga,EAGLE DW-1 Eagle
DWD2,1,ga,DEWOITINE D-26
DYH2,1,heli,DYNALI H-2
DYH3,1,heli,DYNALI H-3 EasyFlyer
E110,2,regional,EMBRAER EMB-110 Bandeirante
E120,2,regional,EMBRAER EMB-120 Brasilia
E121,2,regional,EMBRAER EMB-121 Xingu
E135,2,narrowbody,EMBRAER ERJ-135
E145,2,narrowbody,EMBRAER ERJ-145EP
E170,2,narrowbody,EMBRAER ERJ-170-100
E190,2,narrowbody,EMBRAER ERJ-190-100
E195,2,narrowbody,EMBRAER ERJ-190-200
E2,2,regional,GRUMMAN E-2 Hawkeye
E200,1,ga,EXTRA EA-200
E230,1,ga,EXTRA EA-230
E275,2,narrowbody,EMBRAER ERJ-190-500
E290,2,narrowbody,EMBRAER ERJ-190-300
E295,2,narrowbody,EMBRAER ERJ-190-400
E29E,1,ga,BINDER (2) EB-29DE
E2CB,1,ga,TAYLOR (1) E-2 Cub
E300,1,ga,EXTRA EA-300
E314,1,ga,EMBRAER EMB-314 Super Tucano
E350,1,ga,CESSNA E350
E35L,2,narrowbody,EMBRAER EMB-135BJ Legacy
E390,2,narrowbody,EMBRAER EMB-390
E3CF,4,quad,BOEING E-3A (CFM56) Sentry
E3TF,4,quad,BOEING E-3A (TF33) Sentry
E400,1,ga,EXTRA EA-400
E45X,2,narrowbody,EMBRAER EMB-145XR
E500,1,ga,EXTRA EA-500
E50P,2,narrowbody,EMBRAER EMB-500 Phenom 100
E530,2,narrowbody,CESSNA E530 Scorpion
E545,2,narrowbody,EMBRAER EMB-545 Praetor 500
E550,2,narrowbody,EMBRAER EMB-550 Praetor 600
E55P,2,narrowbody,EMBRAER EMB-505 Phenom 300
E6,4,quad,BOEING E-6 Mercury
E737,2,narrowbody,BOEING 737-700 Wedgetail
E75L,2,narrowbody,EMBRAER ERJ-170-200 (long wing)
E75S,2,narrowbody,EMBRAER ERJ-170-200 (short wing)
E767,2,narrowbody,BOEING E-767
E7BH,1,ga,E-7 GROUP E-7 Bush Hog
E8,4,quad,NORTHROP GRUMMAN E-8 Joint Stars
EA40,1,ga,ECLIPSE Eclipse 400
EA50,2,narrowbody,ECLIPSE Eclipse 500
EAEA,1,ga,GROSSO Easy Eagle
EAGL,1,ga,CHRISTEN Eagle
EAGT,1,ga,AMEAGLE American Eaglet
EAGX,1,ga,EAGLE AIRCRAFT Eagle 150
EB29,1,ga,BINDER (2) EB-29
EBOY,1,ga,FMA 20 El Boyero
EC20,1,heli,AIRBUS HELICOPTERS EC-120 Colibri
EC25,2,heli,AIRBUS HELICOPTERS EC-225 Super Puma Mk2+
EC30,1,heli,AIRBUS HELICOPTERS EC-130
EC35,2,heli,AIRBUS HELICOPTERS EC-135
EC45,2,heli,AIRBUS HELICOPTERS-KAWASAKI EC-145
EC55,2,heli,AIRBUS HELICOPTERS EC-155
EC6,1,ga,CROSES EC-6 Criquet
EC75,2,heli,AIRBUS HELICOPTERS-HARBIN EC-175
ECHO,1,ga,TECNAM P-92 Echo
EDGE,1,ga,ZIVKO Edge 540
EDGT,1,ga,ZIVKO Edge 540 T
EF2,1,ga,BYE AEROSPACE eFlyer 2
EFAN,2,regional,AIRBUS E-Fan
EFOX,1,ga,AEROPRO Eurofox
EFUS,1,ga,MAGNUS MG-11 eFusion
EGL3,1,heli,ROTORWAY Eagle 300T
EGRT,1,ga,GROB D-500 Egrett 2
EH10,3,heli,AGUSTAWESTLAND AW-101
EL10,1,heli,ELA AVIACION ELA-10 Eclipse
EL20,1,ga,ELITAR IE-202
ELA7,1,heli,ELA AVIACION ELA-07
ELF,1,ga,PARNALL Elf
ELIT,2,narrowbody,EPIC AIRCRAFT Epic Elite
ELPS,1,ga,EXPLORER (1) Ellipse
ELSP,1,ga,A2 CZ Ellipse Spirit
ELST,1,ga,PUTZER Elster
ELTO,1,heli,CONTINENTAL COPTERS El Tomcat
ELTR,1,ga,ELITAR IE-101 Elitar
EM10,1,ga,MARGANSKI EM-10 Bielik
EM11,2,regional,MARGANSKI EM-11 Orka
EN28,1,heli,ENSTROM 280 Shark
EN48,1,heli,ENSTROM 480
EP9,1,ga,LANCASHIRE EP-9 Prospector
EPER,1,ga,EPERVIER (1) Epervier
EPIC,1,ga,EPIC AIRCRAFT E1000
EPX1,1,ga,EPERVIER (2) X-1
ERAC,1,ga,DICKEY E-Racer
ERCO,1,ga,ERCO 415 Ercoupe
ES11,1,heli,ALPI AH-130 Syton
ES13,1,ga,EARLY BIRD Spad 13 80%
ESCA,1,ga,EPIC AIRCRAFT Epic Escape
ESCP,1,ga,JUST Escapade
ESQL,1,ga,MOURA Esqualo
ETA,1,ga,ETA AIRCRAFT Eta
ETAR,1,ga,DASSAULT Super Etendard
EUFI,2,narrowbody,EUROFIGHTER Eurofighter 2000
EUPA,1,ga,EUROPA Europa
EURT,1,ga,FFT Eurotrainer 2000
EV55,2,regional,EVEKTOR EV-55 Outback
EV97,1,ga,EVEKTOR EV-97 EuroStar
EVAN,2,regional,EVANGEL 4500 Evangel
EVIC,1,ga,EPIC AIRCRAFT Epic Victory
EVOP,1,ga,LANCAIR Evolution Piston
EVOT,1,ga,LANCAIR Evolution Turbine
EVSS,1,ga,EVEKTOR SportStar
EX5T,1,ga,AEA Explorer 500T
EXEC,1,heli,ROTORWAY Exec
EXEJ,1,heli,ROTORWAY JetExec
EXNG,1,ga,EXTRA NG
EXPL,2,heli,MCDONNELL DOUGLAS MD-900 Explorer
EXPR,1,ga,EXPRESS Express 2000RG
EZFL,1,ga,BLUE YONDER E-Z Flyer
EZFT,2,regional,BLUE YONDER Twin E-Z Flyer
EZHV,1,ga,BLUE YONDER E-Z Harvard
EZIK,1,ga,ISTRA Ezhik
EZKC,1,ga,BLUE YONDER E-Z King Cobra
F1,2,narrowbody,MITSUBISHI F-1
F100,2,narrowbody,FOKKER 100
F104,1,ga,LOCKHEED F-104 Starfighter
F106,1,ga,CONVAIR QF-106 Delta Dart
F111,2,narrowbody,GENERAL DYNAMICS F-111 Aardvark
F117,2,narrowbody,LOCKHEED F-117 Nighthawk
F13,1,ga,JUNKERS F-13 Replica
F14,2,narrowbody,GRUMMAN F-14 Tomcat
F15,2,narrowbody,MCDONNELL DOUGLAS F-15 Eagle
F156,1,ga,FIESELER Fi-156 Storch
F16,1,ga,GENERAL DYNAMICS F-16 Fighting Falcon
F18H,2,narrowbody,MCDONNELL DOUGLAS FA-18C Hornet
F18S,2,narrowbody,MCDONNELL DOUGLAS FA-18E Super Hornet
F1FV,1,ga,AVION F-1 Favorit
F2,1,ga,MITSUBISHI F-2
F22,2,narrowbody,LOCKHEED MARTIN F-22 Raptor
F260,1,ga,SIAI-MARCHETTI SF-260
F26T,1,ga,SIAI-MARCHETTI SF-260T
F27,2,regional,FOKKER F-27 Friendship
F28,2,narrowbody,FOKKER F-28 Fellowship
F2TH,2,narrowbody,DASSAULT Falcon 2000
F30,1,ga,GOLDEN CAR F-30 Brio
F35,1,ga,LOCKHEED MARTIN F-35C Lightning 2
F3F,1,ga,GRUMMAN F3F Replica
F4,2,narrowbody,MCDONNELL DOUGLAS F-4 Phantom 2
F402,1,ga,FALCON AIR Falcon 402
F406,2,regional,CESSNA F406 Caravan 2
F41E,2,regional,AEROSAMARA F-41 El'brus
F421,1,ga,FALCON AIR Falcon 421
F5,2,narrowbody,NORTHROP F-5 Freedom Fighter
F50,2,regional,FOKKER 50
F5SA,2,narrowbody,IRIAF S-100 Saeghe
F60,2,regional,FOKKER 60
F600,2,regional,VULCANAIR SF-600 Canguro
F70,2,narrowbody,FOKKER 70
F8,1,ga,CHANCE VOUGHT F8U Crusader
F86,1,ga,NORTH AMERICAN F-86 Sabre
F8L,1,ga,SEQUOIA F-8L Falco
F900,3,widebody,DASSAULT Falcon 900
F9F,1,ga,GRUMMAN F9F Panther
FA01,1,ga,FLÄMING AIR FA-01 Saphir
FA02,1,ga,FLÄMING AIR FA-02 Smaragd VLA
FA03,1,ga,FLÄMING AIR FA-03 Smaragd TMG
FA04,1,ga,FLÄMING AIR FA-04 Peregrine
FA10,2,narrowbody,DASSAULT Falcon 10
FA11,1,ga,FAIRCHILD (2) F-11 Husky
FA20,2,narrowbody,DASSAULT Falcon 20
FA24,1,ga,FAIRCHILD (1) F-24 Argus
FA50,3,widebody,DASSAULT Falcon 50
FA62,1,ga,FAIRCHILD (1) PT-19 Cornell
FA6X,2,narrowbody,DASSAULT Falcon 6X
FA7X,3,widebody,DASSAULT Falcon 7X
FA8X,3,widebody,DASSAULT Falcon 8X
FAET,1,ga,ATEC 321 Faeta
FALC,1,ga,AMERICAN AIRCRAFT Falcon XP
FALM,1,ga,MILES M-3 Falcon Major
FANL,1,ga,RHEIN FL-1 Fanliner
FANT,1,ga,RHEIN Fantrainer
FB1A,1,ga,BOWERS Fly Baby 1A
FB1B,1,ga,BOWERS Fly Baby 1B
FB5,1,ga,EURO-FLY FB-5 Star Light
FBA2,1,ga,FOUND FBA-2 Bush Hawk
FBIR,1,ga,FREEWING Freebird Mk5
FC1,1,ga,CHENGDU FC-1 Xiaolong
FD2E,1,ga,FLIGHT DESIGN F-2e
FDCT,1,ga,FLIGHT DESIGN CT
FDF2,1,ga,FLIGHT DESIGN F-2
FDMC,1,ga,FLIGHT DESIGN MC
FE51,1,ga,FIGHTER ESCORT WINGS P-51
FEST,1,ga,AEROSTAR (2) R40S Festival
FFLY,1,ga,FAIREY Firefly
FG01,1,ga,FARIGOUX FG-01 Origan
FGT,1,ga,MIDWEST AEROSPORT Formula GT
FH11,1,heli,FAIRCHILD HILLER FH-1100
FIBO,1,ga,STARFIRE Firebolt Convertible
FIKD,1,ga,FIKE D
FIKE,1,ga,FIKE E
FINC,1,ga,FLEET 16 Finch
FJ10,2,narrowbody,AEROSTAR (1) FJ-100
FJR3,1,ga,FAJR F-3
FK12,1,ga,B & F TECHNIK FK-12 Comet
FK14,1,ga,B & F TECHNIK FK-14 Polaris
FK9,1,ga,B & F TECHNIK FK-9
FL3,1,ga,AVIA (1) L-3 Aviastarlet
FL53,1,ga,METEOR FL-53
FL54,1,ga,METEOR FL-54
FL55,1,ga,METEOR FL-55
FLAM,2,regional,DASSAULT MD-311 Flamant
FLCO,1,ga,SELEX ES Falco
FLE2,1,ga,FLEET 2
FLE7,1,ga,FLEET 7 Fawn
FLIZ,1,ga,FLITZER Z-1 Flitzer
FLSH,1,ga,EURO-FLY Flash
FLSS,1,ga,KOLB Flyer SS
FM25,1,ga,FLYING MACHINES FM-250 Vampire
FMGO,1,ga,AAK Flamingo
FN33,1,ga,SIAI-MARCHETTI FN-333 Riviera
FNKB,1,ga,AKRON Funk B
FOOF,1,ga,STEWART (2) JD-2 Foo Fighter
FORT,1,ga,FLEET 60 Fort
FOUG,2,narrowbody,FOUGA CM-170R Magister
FOX,1,ga,DENNEY Kitfox
FOXT,1,ga,TEAM TANGO Foxtrot-4
FRBD,1,ga,NORTHROP GRUMMAN Firebird
FREE,1,ga,CABRINHA RC-412 Free Spirit
FREL,3,heli,AEROSPATIALE SA-321 Super Frelon
FRNT,1,ga,SKY RAIDER Frontier
FRON,1,ga,FRONTIER Frontier MD-2
FS51,1,ga,FALCONAR SAL P-51D Mustang
FT30,1,ga,NAI FT-300
FU24,1,ga,FLETCHER FU-24
FURY,1,ga,HAWKER Sea Fury
FUSI,1,ga,MAGNUS MG-11 Fusion
FW02,1,ga,FLYWHALE FW-02 Flywhale
FW19,1,ga,FOUR WINDS 192
FW21,1,ga,FOUR WINDS FX-210
FW44,1,ga,FOCKE-WULF Fw-44 Stieglitz
FW90,1,ga,FOCKE-WULF Fw-190 Replica
FWSB,1,ga,FLEETWINGS F-4 Sea Bird
FX1,1,ga,INNOVAVIATION FX-1
G1,1,ga,G1 AVIATION G-1 Gélinotte
G103,1,ga,GROB G-103C Twin 3SL
G109,1,ga,GROB G-109 Ranger
G115,1,ga,GROB G-115
G120,1,ga,GROB G-120 Snunit
G12T,1,ga,GROB G-120TP
G140,1,ga,GROB G-140TP
G150,2,narrowbody,GULFSTREAM AEROSPACE Gulfstream G150
G159,2,regional,GRUMMAN G-159 Gulfstream 1
G15T,1,ga,GROB G-115T Acro
G160,1,ga,GROB G-160 Ranger
G164,1,ga,GRUMMAN G-164 Ag-Cat
G180,1,ga,GENERAL AIRCRAFT G1-80 Skyfarer
G200,1,ga,GILES G-200
G202,1,ga,GILES G-202
G21,2,regional,GRUMMAN G-21A Goose
G21M,4,quad,MCKINNON G-21C Goose
G21T,2,regional,MCKINNON G-21E Turbo Goose
G222,2,regional,ALENIA G-222
G250,2,narrowbody,GULFSTREAM AEROSPACE Gulfstream G250
G280,2,narrowbody,GULFSTREAM AEROSPACE Gulfstream G280
G2CA,1,heli,GUIMBAL G-2 Cabri
G2GL,1,ga,SOKO G-2 Galeb
G2T1,1,ga,GREAT LAKES 2T-1 Sport
G3,1,ga,REMOS G-3 Mirage
G300,1,ga,GILES G-300
G44,2,regional,GRUMMAN G-44 Widgeon
G46,1,ga,FIAT G-46
G4SG,1,ga,SOKO G-4 Super Galeb
G59,1,ga,FIAT G-59
G64T,1,ga,GRUMMAN G-164 Turbo Ag-Cat
G70,1,ga,GROPPO G-70
G73,2,regional,GRUMMAN G-73 Mallard
G73T,2,regional,GRUMMAN G-73T Turbo Mallard
G800,1,ga,GRINVALDS G-801 Orion
G850,2,regional,GROB G-850 Strato 2C
G96,2,regional,GRUMMAN G-96 Trader
G97,1,ga,SAI (2) G-97 Spotter
GA10,1,ga,GIPPSAERO GA-10
GA20,1,ga,GIPPSLAND GA-200 Fatman
GA5C,2,narrowbody,GULFSTREAM AEROSPACE G-7 Gulfstream G500
GA6C,2,narrowbody,GULFSTREAM AEROSPACE G-7 Gulfstream G600
GA7,2,regional,GRUMMAN AMERICAN GA-7 Cougar
GA7C,2,narrowbody,GULFSTREAM AEROSPACE G-8 Gulfstream G700
GA8,1,ga,GIPPSLAND GA-8 Airvan
GA8C,2,narrowbody,GULFSTREAM G800
GABR,1,ga,BLACKSHAPE Bk-160 Gabriel
GALX,2,narrowbody,GULFSTREAM AEROSPACE Gulfstream G200
GAUN,1,ga,GLOSTER Gauntlet
GAVI,1,ga,GAVILAN EL-1 Gavilan 358
GAZL,1,heli,AEROSPATIALE SA-342 Gazelle
GB1,1,ga,GAME COMPOSITES GB-1 GameBird
GBSP,1,ga,BEETS GB Special
GC1,1,ga,GLOBE GC-1 Swift
GDUK,2,regional,ELLISON-MAHON Gweduck
GEMI,2,regional,MILES M-65 Gemini
GENI,1,ga,IFB E-Genius
GEPE,1,ga,AERO SERVICES Guêpe
GF20,1,ga,GROB GF-200
